name of file,donor,islet,glucose,cell number,cell type,R64 file,npy file
0083_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_29.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0083_beta.npy
0084_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_30.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0084_beta.npy
0085_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_31.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0085_beta.npy
0086_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_32.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0086_beta.npy
0087_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_33.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0087_beta.npy
0088_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_34.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0088_beta.npy
0089_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_35.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0089_beta.npy
0090_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_36.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0090_beta.npy
0091_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_37.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0091_beta.npy
0092_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_38.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0092_beta.npy
0093_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_39.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0093_beta.npy
0094_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_40.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0094_beta.npy
0095_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_41.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0095_beta.npy
0096_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_42.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0096_beta.npy
0097_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_43.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0097_beta.npy
0098_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_44.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0098_beta.npy
0099_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_45.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0099_beta.npy
0100_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_46.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0100_beta.npy
0101_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_47.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0101_beta.npy
0102_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_1.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0102_beta.npy
0103_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_2.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0103_beta.npy
0104_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_3.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0104_beta.npy
0105_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_4.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0105_beta.npy
0106_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_5.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0106_beta.npy
0107_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_6.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0107_beta.npy
0108_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_7.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0108_beta.npy
0109_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_8.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0109_beta.npy
0110_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_9.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0110_beta.npy
0111_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_10.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0111_beta.npy
0112_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_11.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0112_beta.npy
0113_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_12.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0113_beta.npy
0114_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_13.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0114_beta.npy
0115_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_14.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0115_beta.npy
0116_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_15.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0116_beta.npy
0117_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_16.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0117_beta.npy
0118_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_17.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0118_beta.npy
0119_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_18.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0119_beta.npy
0120_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_19.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0120_beta.npy
0121_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_20.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0121_beta.npy
0122_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_21.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0122_beta.npy
0123_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_22.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0123_beta.npy
0124_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_23.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0124_beta.npy
0125_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_24.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0125_beta.npy
0126_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_25.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0126_beta.npy
0127_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_26.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0127_beta.npy
0128_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_27.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0128_beta.npy
0129_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_28.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0129_beta.npy
0130_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_29.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0130_beta.npy
0131_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_30.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0131_beta.npy
0132_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_31.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0132_beta.npy
0133_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_32.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0133_beta.npy
0134_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_33.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0134_beta.npy
0135_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_34.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0135_beta.npy
0136_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_35.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0136_beta.npy
0137_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_36.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0137_beta.npy
0138_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_37.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0138_beta.npy
0139_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_38.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0139_beta.npy
0140_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_39.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0140_beta.npy
0141_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_40.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0141_beta.npy
0142_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_41.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0142_beta.npy
0143_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_42.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0143_beta.npy
0144_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_43.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0144_beta.npy
0145_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_44.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0145_beta.npy
0146_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_45.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0146_beta.npy
0147_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_46.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0147_beta.npy
0148_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_47.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0148_beta.npy
0149_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_48.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0149_beta.npy
0150_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_49.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0150_beta.npy
0151_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_50.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0151_beta.npy
0152_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_51.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0152_beta.npy
0153_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_52.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0153_beta.npy
0154_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_53.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0154_beta.npy
0155_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_54.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0155_beta.npy
0156_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_55.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0156_beta.npy
0157_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_56.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0157_beta.npy
0158_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_57.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0158_beta.npy
0159_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_58.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0159_beta.npy
0160_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_59.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0160_beta.npy
0161_beta,20210714,P1H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210714\P1H2\beta\beta2_60.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0161_beta.npy
